Date,Open,High,Low,Close,Adjusted,Volume,Dividend amount
,,,,,,,
30-04-2003,24.46,26.43,23.95,25.57,15.8196,1249617700,0
,,,,,,,
31-03-2003,24.02,26.8,22.55,24.21,14.9782,1371902600,0
,,,,,,,
28-02-2003,47.93,49.1,23.3,23.7,14.6627,910628150,0.08
,,,,,,,
31-01-2003,52.3,57.32,47.03,47.46,14.6335,859331100,0
,,,,,,,
31-12-2002,58.65,58.96,51.26,51.7,15.9408,634185100,0
,,,,,,,
29-11-2002,52.43,58.64,51.9,57.68,17.7847,777998600,0
,,,,,,,
31-10-2002,44.32,54.07,43.19,53.47,16.4866,1237685300,0
,,,,,,,
30-09-2002,48.52,51.1,43.11,43.74,13.4865,847852900,0
,,,,,,,
30-08-2002,47.58,53.45,43.8,49.08,15.133,857878600,0
,,,,,,,
31-07-2002,54.12,54.93,41.41,47.98,14.7938,1216094000,0
,,,,,,,
28-06-2002,50.99,56.44,49.17,54.7,16.8658,917036500,0
,,,,,,,
31-05-2002,52.16,56.44,48.35,50.91,15.6973,710133100,0
,,,,,,,
30-04-2002,59.83,60.4,51.44,52.26,16.1135,708739700,0
,,,,,,,
28-03-2002,59.05,65,58.31,60.31,18.5956,536622100,0
,,,,,,,
28-02-2002,64.15,64.5,57.15,58.34,17.9882,565579600,0
,,,,,,,
31-01-2002,66.65,70.62,61.33,63.71,19.6439,680057900,0
,,,,,,,
31-12-2001,63.83,69.89,63.8,66.25,20.4271,488544500,0
,,,,,,,
30-11-2001,60.08,68.34,59.6,64.21,19.7981,665484300,0
,,,,,,,
31-10-2001,50.94,63.63,50.41,58.15,17.9296,875445500,0
,,,,,,,
28-09-2001,57.19,59.08,47.5,51.17,15.7774,755412200,0
,,,,,,,
31-08-2001,66.8,67.54,56.3,57.05,17.5904,576948200,0
,,,,,,,
31-07-2001,72.05,73.15,64.2,66.19,20.4086,727600500,0
,,,,,,,
29-06-2001,69.6,76.15,66.01,73,22.5083,724588900,0
,,,,,,,
31-05-2001,67.66,72.15,67.25,69.18,21.3305,888652900,0
,,,,,,,
30-04-2001,54.81,71.1,51.06,67.75,20.8896,1037903500,0
,,,,,,,
30-03-2001,58.56,61.13,49.75,54.69,16.8628,947674900,0
,,,,,,,
28-02-2001,60.81,65.06,53.88,59,18.1917,768447800,0
,,,,,,,
31-01-2001,44.13,64.75,42.88,61.06,18.8268,1002765600,0
,,,,,,,
29-12-2000,58.06,60.63,40.31,43.38,13.3755,1028334100,0
,,,,,,,
30-11-2000,68.5,72.37,57,57.38,17.6922,991731300,0
,,,,,,,
31-10-2000,60.5,70.12,48.44,68.87,21.2349,1234707800,0
,,,,,,,
29-09-2000,70,72.06,58.63,60.31,18.5956,712766900,0
,,,,,,,
31-08-2000,69.94,74.87,68.12,69.81,21.5248,609699900,0
,,,,,,,
31-07-2000,79.69,82.87,67.25,69.81,21.5248,617092900,0
,,,,,,,
30-06-2000,64.37,82.19,63.81,80,24.6667,733525100,0
,,,,,,,
31-05-2000,72.87,74,60.38,62.56,19.2893,672215400,0
,,,,,,,
28-04-2000,94.44,96.5,65,69.75,21.5063,1129073300,0
,,,,,,,
31-03-2000,89.62,115,88.94,106.25,32.7604,1014093800,0
,,,,,,,
29-02-2000,98.5,110,88.12,89.37,27.5558,667243800,0
,,,,,,,
31-01-2000,117.37,118.62,94.87,97.87,30.1766,637437600,0
,,,,,,,
31-12-1999,91.06,119.94,90.87,116.75,35.9979,630488900,0
